"ID","Name"
"65537","Google-Web"
"65538","Google-ICMP"
"65539","Google-DNS"
"65540","Google-Outbound_Email"
"65542","Google-SSH"
"65543","Google-FTP"
"65544","Google-NTP"
"65545","Google-Inbound_Email"
"65550","Google-LDAP"
"65551","Google-NetBIOS.Session.Service"
"65552","Google-RTMP"
"65560","Google-NetBIOS.Name.Service"
"65536","Google-Other"
"65641","Google-Google.Cloud"
"65643","Google-Google.Bot"
"65646","Google-Gmail"
"131073","Meta-Web"
"131074","Meta-ICMP"
"131075","Meta-DNS"
"131076","Meta-Outbound_Email"
"131078","Meta-SSH"
"131079","Meta-FTP"
"131080","Meta-NTP"
"131081","Meta-Inbound_Email"
"131086","Meta-LDAP"
"131087","Meta-NetBIOS.Session.Service"
"131088","Meta-RTMP"
"131096","Meta-NetBIOS.Name.Service"
"131072","Meta-Other"
"131184","Meta-Whatsapp"
"131189","Meta-Instagram"
"196609","Apple-Web"
"196610","Apple-ICMP"
"196611","Apple-DNS"
"196612","Apple-Outbound_Email"
"196614","Apple-SSH"
"196615","Apple-FTP"
"196616","Apple-NTP"
"196617","Apple-Inbound_Email"
"196622","Apple-LDAP"
"196623","Apple-NetBIOS.Session.Service"
"196624","Apple-RTMP"
"196632","Apple-NetBIOS.Name.Service"
"196608","Apple-Other"
"196723","Apple-App.Store"
"196747","Apple-APNs"
"262145","Yahoo-Web"
"262146","Yahoo-ICMP"
"262147","Yahoo-DNS"
"262148","Yahoo-Outbound_Email"
"262150","Yahoo-SSH"
"262151","Yahoo-FTP"
"262152","Yahoo-NTP"
"262153","Yahoo-Inbound_Email"
"262158","Yahoo-LDAP"
"262159","Yahoo-NetBIOS.Session.Service"
"262160","Yahoo-RTMP"
"262168","Yahoo-NetBIOS.Name.Service"
"262144","Yahoo-Other"
"327681","Microsoft-Web"
"327682","Microsoft-ICMP"
"327683","Microsoft-DNS"
"327684","Microsoft-Outbound_Email"
"327686","Microsoft-SSH"
"327687","Microsoft-FTP"
"327688","Microsoft-NTP"
"327689","Microsoft-Inbound_Email"
"327694","Microsoft-LDAP"
"327695","Microsoft-NetBIOS.Session.Service"
"327696","Microsoft-RTMP"
"327704","Microsoft-NetBIOS.Name.Service"
"327680","Microsoft-Other"
"327781","Microsoft-Skype_Teams"
"327782","Microsoft-Office365"
"327786","Microsoft-Azure"
"327788","Microsoft-Bing.Bot"
"327791","Microsoft-Outlook"
"327793","Microsoft-Microsoft.Update"
"327837","Microsoft-Dynamics"
"327839","Microsoft-WNS"
"327880","Microsoft-Office365.Published"
"327886","Microsoft-Intune"
"327902","Microsoft-Office365.Published.Optimize"
"327903","Microsoft-Office365.Published.Allow"
"327917","Microsoft-Office365.Published.USGOV"
"327958","Microsoft-Azure.Monitor"
"327959","Microsoft-Azure.SQL"
"327960","Microsoft-Azure.AD"
"327961","Microsoft-Azure.Data.Factory"
"327962","Microsoft-Azure.Virtual.Desktop"
"327963","Microsoft-Azure.Power.BI"
"327980","Microsoft-Azure.Connectors"
"327991","Microsoft-Teams.Published.Worldwide.Optimize"
"327992","Microsoft-Teams.Published.Worldwide.Allow"
"327993","Microsoft-Azure.Front.Door"
"328007","Microsoft-Azure.Service.Bus"
"328009","Microsoft-Azure.Microsoft.Defender"
"328013","Microsoft-Azure.Resource.Manager"
"328014","Microsoft-Azure.Arc.Infrastructure"
"328015","Microsoft-Azure.Storage"
"328016","Microsoft-Azure.ATP"
"328017","Microsoft-Azure.Traffic.Manager"
"328018","Microsoft-Azure.Windows.Admin.Center"
"328021","Microsoft-Azure.KeyVault"
"328034","Microsoft-Azure.Databricks"
"328035","Microsoft-Azure.Event.Hub"
"328043","Microsoft-Azure.Power.Platform"
"393217","Amazon-Web"
"393218","Amazon-ICMP"
"393219","Amazon-DNS"
"393220","Amazon-Outbound_Email"
"393222","Amazon-SSH"
"393223","Amazon-FTP"
"393224","Amazon-NTP"
"393225","Amazon-Inbound_Email"
"393230","Amazon-LDAP"
"393231","Amazon-NetBIOS.Session.Service"
"393232","Amazon-RTMP"
"393240","Amazon-NetBIOS.Name.Service"
"393216","Amazon-Other"
"393320","Amazon-AWS"
"393403","Amazon-AWS.WorkSpaces.Gateway"
"393446","Amazon-Twitch"
"393452","Amazon-AWS.GovCloud.US"
"393470","Amazon-AWS.EBS"
"393471","Amazon-AWS.Cloud9"
"393472","Amazon-AWS.DynamoDB"
"393473","Amazon-AWS.Route53"
"393474","Amazon-AWS.S3"
"393475","Amazon-AWS.Kinesis.Video.Streams"
"393476","Amazon-AWS.Global.Accelerator"
"393477","Amazon-AWS.EC2"
"393478","Amazon-AWS.API.Gateway"
"393479","Amazon-AWS.Chime.Voice.Connector"
"393480","Amazon-AWS.Connect"
"393481","Amazon-AWS.CloudFront"
"393482","Amazon-AWS.CodeBuild"
"393483","Amazon-AWS.Chime.Meetings"
"393484","Amazon-AWS.AppFlow"
"393493","Amazon-Amazon.SES"
"458753","eBay-Web"
"458754","eBay-ICMP"
"458755","eBay-DNS"
"458756","eBay-Outbound_Email"
"458758","eBay-SSH"
"458759","eBay-FTP"
"458760","eBay-NTP"
"458761","eBay-Inbound_Email"
"458766","eBay-LDAP"
"458767","eBay-NetBIOS.Session.Service"
"458768","eBay-RTMP"
"458776","eBay-NetBIOS.Name.Service"
"458752","eBay-Other"
"524289","PayPal-Web"
"524290","PayPal-ICMP"
"524291","PayPal-DNS"
"524292","PayPal-Outbound_Email"
"524294","PayPal-SSH"
"524295","PayPal-FTP"
"524296","PayPal-NTP"
"524297","PayPal-Inbound_Email"
"524302","PayPal-LDAP"
"524303","PayPal-NetBIOS.Session.Service"
"524304","PayPal-RTMP"
"524312","PayPal-NetBIOS.Name.Service"
"524288","PayPal-Other"
"589825","Box-Web"
"589826","Box-ICMP"
"589827","Box-DNS"
