"TimeIndex";"TimeName"
"0";"(GMT-12:00) Eniwetak, Kwajalein"
"1";"(GMT-11:00) Midway Island, Samoa"
"2";"(GMT-10:00) Hawaii"
"3";"(GMT-9:00) Alaska"
"4";"(GMT-8:00) Pacific Time (US & Canada)"
"5";"(GMT-7:00) Arizona"
"6";"(GMT-7:00) Mountain Time (US & Canada)"
"7";"(GMT-6:00) Central America"
"8";"(GMT-6:00) Central Time (US & Canada)"
"9";"(GMT-6:00) Mexico City"
"10";"(GMT-6:00) Saskatchewan"
"11";"(GMT-5:00) Bogota, Lima, Quito"
"12";"(GMT-5:00) Eastern Time (US & Canada)"
"13";"(GMT-5:00) Indiana (East)"
"14";"(GMT-4:00) Atlantic Time (Canada)"
"15";"(GMT-4:00) La Paz"
"16";"(GMT-4:00) Santiago"
"17";"(GMT-3:30) Newfoundland"
"18";"(GMT-3:00) Brasilia"
"19";"(GMT-3:00) Buenos Aires, Georgetown"
"20";"(GMT-3:00) Nuuk (Greenland)"
"21";"(GMT-2:00) Mid-Atlantic"
"22";"(GMT-1:00) Azores"
"23";"(GMT-1:00) Cape Verde Is"
"24";"(GMT) Casablanca, Monrovia"
"25";"(GMT) Greenwich Mean Time:Dublin, Edinburgh, Lisbon, London"
"26";"(GMT+1:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
"27";"(GMT+1:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague"
"28";"(GMT+1:00) Brussels, Copenhagen, Madrid, Paris"
"29";"(GMT+1:00) Sarajevo, Skopje, Sofija, Vilnius, Warsaw, Zagreb"
"30";"(GMT+1:00) West Central Africa"
"31";"(GMT+2:00) Athens, Istanbul, Minsk"
"32";"(GMT+2:00) Bucharest"
"33";"(GMT+2:00) Cairo"
"34";"(GMT+2:00) Harare, Pretoria"
"35";"(GMT+2:00) Helsinki, Riga,Tallinn"
"36";"(GMT+2:00) Jerusalem"
"37";"(GMT+3:00) Baghdad"
"38";"(GMT+3:00) Kuwait, Riyadh"
"39";"(GMT+3:00) Moscow, St.Petersburg, Volgograd"
"40";"(GMT+3:00) Nairobi"
"41";"(GMT+3:30) Tehran"
"42";"(GMT+4:00) Abu Dhabi, Muscat"
"43";"(GMT+4:00) Baku"
"44";"(GMT+4:30) Kabul"
"45";"(GMT+5:00) Ekaterinburg"
"46";"(GMT+5:00) Islamabad, Karachi,Tashkent"
"47";"(GMT+5:30) Calcutta, Chennai, Mumbai, New Delhi"
"48";"(GMT+5:45) Kathmandu"
"49";"(GMT+6:00) Almaty, Novosibirsk"
"50";"(GMT+6:00) Astana, Dhaka"
"51";"(GMT+6:00) Sri Jayawardenapura"
"52";"(GMT+6:30) Rangoon"
"53";"(GMT+7:00) Bangkok, Hanoi, Jakarta"
"54";"(GMT+7:00) Krasnoyarsk"
"55";"(GMT+8:00) Beijing,ChongQing, HongKong,Urumqi"
"56";"(GMT+8:00) Irkutsk, Ulaanbaatar"
"57";"(GMT+8:00) Kuala Lumpur, Singapore"
"58";"(GMT+8:00) Perth"
"59";"(GMT+8:00) Taipei"
"60";"(GMT+9:00) Osaka, Sapporo, Tokyo, Seoul"
"61";"(GMT+9:00) Yakutsk"
"62";"(GMT+9:30) Adelaide"
"63";"(GMT+9:30) Darwin"
"64";"(GMT+10:00) Brisbane"
"65";"(GMT+10:00) Canberra, Melbourne, Sydney"
"66";"(GMT+10:00) Guam, Port Moresby"
"67";"(GMT+10:00) Hobart"
"68";"(GMT+10:00) Vladivostok"
"69";"(GMT+11:00) Magadan"
"70";"(GMT+11:00) Solomon Is., New Caledonia"
"71";"(GMT+12:00) Auckland, Wellington"
"72";"(GMT+12:00) Fiji, Kamchatka, Marshall Is"
"73";"(GMT+13:00) Nuku'alofa"
"74";"(GMT-4:30) Caracas"
"75";"(GMT+1:00) Namibia"
"76";"(GMT-5:00) Brazil-Acre)"
"77";"(GMT-4:00) Brazil-West"
"78";"(GMT-3:00) Brazil-East"
"79";"(GMT-2:00) Brazil-DeNoronha"
